time_s,x_m,y_m,altitude_m,vz_m_s,speed_m_s,thrust_N
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.0,0.0,0.0,0.0,0.0,7.645333333333333
0.008,0.0,0.0,0.0,8.523917316277748E-4,8.523917316277748E-4,15.290666666666667
0.012,-3.6342898998503795E-12,-2.4173802735976196E-19,2.8422095684408398E-5,0.017054818354140477,0.01705481835414073,22.936000000000003
0.016,-3.8459086051748876E-11,-6.867730761756983E-18,1.6601112138243235E-4,0.055436673766787445,0.05543667376679009,30.581333333333333
0.02,-1.6780640482272129E-10,-4.4548367222387234E-17,5.014945555199731E-4,0.11600282755030215,0.11600282755031369,38.226666666666674
0.024,-4.91615141899763E-10,-1.7162864095980902E-16,0.0011236192139478874,0.19875808428448288,0.19875808428451666,45.87200000000001
0.028,-1.1464432730373902E-9,-4.95231063319034E-16,0.00212115104143363,0.30370719553770403,0.3037071955377828,53.51733333333334
0.032,-2.3054834532727406E-9,-1.1863642757211997E-15,0.0035828747908749374,0.4308548118030335,0.4308548118031919,61.16266666666667
0.036000000000000004,-4.1785830420534454E-9,-2.495038972835218E-15,0.005597593607096083,0.5802054764120981,0.5802054764123853,68.80800000000002
0.04000000000000001,-7.012269639248178E-9,-4.765393183362779E-15,0.008254128569620496,0.7517636109073407,0.7517636109078227,76.45333333333336
0.04400000000000001,-1.1089783190025306E-8,-8.450829408786147E-15,0.011641318176005817,0.9455335003348745,0.945533500335637,84.09866666666669
0.048000000000000015,-1.673111573195889E-8,-1.412916653592903E-14,0.015848017766876284,1.1615192787916102,1.1615192787927606,91.74400000000004
0.05200000000000002,-2.4293059840090156E-8,-2.2517809915411952E-14,0.020963098893575838,1.3997249151821678,1.3997249151838385,99.38933333333338
0.05600000000000002,-3.294345214088252E-8,-3.253880197879222E-14,0.027075448629211872,1.6601541991524866,1.660154199153895,107.03466666666671
0.06,-4.159384444167484E-8,-4.2559794042172425E-14,0.03427396882374405,1.9428107271752075,1.942810727176411,114.68
0.064,-5.024423674246721E-8,-5.258078610555269E-14,0.04263396831291255,2.237492504151913,2.2374925041529585,115.28215384615386
0.068,-5.889462904325958E-8,-6.260177816893296E-14,0.05217633659971241,2.5339950879628885,2.5339950879638113,115.8843076923077
0.07200000000000001,-6.754502134405194E-8,-7.262277023231323E-14,0.0629083564519735,2.8323182479758575,2.832318247976683,116.48646153846155
0.07600000000000001,-7.619541364484431E-8,-8.26437622956935E-14,0.07483730970327437,3.132461747420893,3.1324617474216394,117.0886153846154
0.08000000000000002,-8.484580594563667E-8,-9.266475435907377E-14,0.08797047722533667,3.434425341923224,3.434425341923905,117.69076923076925
0.08400000000000002,-9.349619824642904E-8,-1.0268574642245403E-13,0.10231513889519452,3.7382087783400135,3.7382087783406392,118.29292307692309
0.08800000000000002,-1.021465905472214E-7,-1.127067384858343E-13,0.11787857355816858,4.043811793814311,4.043811793814889,118.89507692307694
0.09200000000000003,-1.1079698284801377E-7,-1.2272773054921457E-13,0.13466805898739143,4.351234114988991,4.351234114989528,119.49723076923078
0.09600000000000003,-1.1944737514880615E-7,-1.3274872261259483E-13,0.1526908718404413,4.660475457341561,4.660475457342063,120.09938461538462
0.10000000000000003,-1.280977674495985E-7,-1.4276971467597508E-13,0.17195428761350945,4.971535524612273,4.971535524612744,120.70153846153846
0.10400000000000004,-1.3674815975039088E-7,-1.5279070673935534E-13,0.19246558059343216,5.284414008305555,5.284414008305998,121.30369230769233
0.10800000000000004,-1.4539855205118324E-7,-1.628116988027356E-13,0.21423202380785,5.599110587249996,5.599110587250413,121.90584615384616
0.11200000000000004,-1.540489443519756E-7,-1.7283269086611585E-13,0.23726088897370498,5.9156249272057195,5.915624927206115,122.50800000000001
0.11600000000000005,-1.6269933665276797E-7,-1.828536829294961E-13,0.2615594464442473,6.233956680510595,6.233956680510969,123.11015384615385
0.12000000000000005,-1.7134972895356034E-7,-1.9287467499287636E-13,0.2871349651546933,6.554105485758595,6.554105485758952,123.7123076923077
0.12400000000000005,-1.800001212543527E-7,-2.0289566705625661E-13,0.31399471256665223,6.876070967505048,6.876070967505388,124.31446153846156
0.12800000000000006,-1.8865051355514507E-7,-2.1291665911963687E-13,0.34214595461142056,7.199852735994552,7.199852735994877,124.9166153846154
0.13200000000000006,-1.9730090585593743E-7,-2.2293765118301713E-13,0.37159595563222736,7.525450386908168,7.525450386908479,125.51876923076924
0.13600000000000007,-2.059512981567298E-7,-2.329586432463974E-13,0.4023519783255025,7.852863501127095,7.852863501127392,126.12092307692309
0.14000000000000007,-2.1460169045752217E-7,-2.4297963530977764E-13,0.4344212836812287,8.182091644510558,8.182091644510844,126.72307692307695
0.14400000000000007,-2.2325208275831453E-7,-2.530006273731579E-13,0.46781113092243,8.513134367686003,8.513134367686279,127.32523076923079
0.14800000000000008,-2.319024750591069E-7,-2.6302161943653815E-13,0.5025287774438432,8.84599120585001,8.845991205850275,127.92738461538464
0.15200000000000008,-2.4055286735989926E-7,-2.730426114999184E-13,0.5385814787498121,9.180661678578597,9.180661678578852,128.52953846153846
0.15600000000000008,-2.492032596606916E-7,-2.8306360356329866E-13,0.57597648839144,9.517145289645773,9.517145289646018,129.1316923076923
0.1600000000000001,-2.57853651961484E-7,-2.930845956266789E-13,0.6147210579030306,9.855441526849395,9.855441526849633,129.73384615384617
0.1640000000000001,-2.6650404426227636E-7,-3.0310558769005917E-13,0.6548224367378461,10.195549861843471,10.1955498618437,130.336
0.1680000000000001,-2.751544365630687E-7,-3.1312657975343943E-13,0.6962878722032066,10.537469749976227,10.537469749976449,130.93815384615385
0.1720000000000001,-2.838048288638611E-7,-3.231475718168197E-13,0.7391246093949514,10.881200630133305,10.88120063013352,131.5403076923077
0.1760000000000001,-2.9245522116465345E-7,-3.3316856388019994E-13,0.7833398911312826,11.226741924585568,11.226741924585776,132.14246153846156
